"Country or Area","Year(s)","Variant","Value"
"Iceland","2066","Zero migration","383.004"
"Iceland","2066","Constant mortality","384.584"
"Iceland","2066","No change","388.836"
"Iceland","2066","Momentum","411.438"
"Iceland","2066","Instant replacement zero migration","432.923"
"Iceland","2066","Median PI","406.304"
"Iceland","2066","Upper 80 PI","441.272"
"Iceland","2066","Lower 80 PI","374.782"
"Iceland","2066","Upper 95 PI","461.97"
"Iceland","2066","Lower 95 PI","357.417"
"Iceland","2065","Medium","406.834"
"Iceland","2065","High","464.265"
"Iceland","2065","Low","353.932"
"Iceland","2065","Constant fertility","410.908"
"Iceland","2065","Instant replacement","456.865"
"Iceland","2065","Zero migration","384.144"
"Iceland","2065","Constant mortality","385.869"
"Iceland","2065","No change","389.942"
"Iceland","2065","Momentum","411.642"
"Iceland","2065","Instant replacement zero migration","432.387"
"Iceland","2065","Median PI","406.834"
"Iceland","2065","Upper 80 PI","440.232"
"Iceland","2065","Lower 80 PI","376.052"
"Iceland","2065","Upper 95 PI","460.675"
"Iceland","2065","Lower 95 PI","359.17"
"Iceland","2064","Medium","407.31"
"Iceland","2064","High","462.655"
"Iceland","2064","Low","356.062"
"Iceland","2064","Constant fertility","411.202"
"Iceland","2064","Instant replacement","455.565"
"Iceland","2064","Zero migration","385.231"
"Iceland","2064","Constant mortality","387.098"
"Iceland","2064","No change","390.993"
"Iceland","2064","Momentum","411.774"
"Iceland","2064","Instant replacement zero migration","431.787"
"Iceland","2064","Median PI","407.31"
"Iceland","2064","Upper 80 PI","439.409"
"Iceland","2064","Lower 80 PI","377.316"
"Iceland","2064","Upper 95 PI","459.176"
"Iceland","2064","Lower 95 PI","361.132"
"Iceland","2063","Medium","407.726"
"Iceland","2063","High","461.024"
"Iceland","2063","Low","358.118"
"Iceland","2063","Constant fertility","411.443"
"Iceland","2063","Instant replacement","454.216"
"Iceland","2063","Zero migration","386.258"
"Iceland","2063","Constant mortality","388.261"
"Iceland","2063","No change","391.981"
"Iceland","2063","Momentum","411.845"
"Iceland","2063","Instant replacement zero migration","431.137"
"Iceland","2063","Median PI","407.726"
"Iceland","2063","Upper 80 PI","438.892"
"Iceland","2063","Lower 80 PI","378.568"
"Iceland","2063","Upper 95 PI","457.534"
"Iceland","2063","Lower 95 PI","363.017"
"Iceland","2062","Medium","408.094"
"Iceland","2062","High","459.378"
"Iceland","2062","Low","360.114"
"Iceland","2062","Constant fertility","411.639"
"Iceland","2062","Instant replacement","452.829"
"Iceland","2062","Zero migration","387.231"
"Iceland","2062","Constant mortality","389.361"
"Iceland","2062","No change","392.908"
"Iceland","2062","Momentum","411.865"
"Iceland","2062","Instant replacement zero migration","430.437"
"Iceland","2062","Median PI","408.094"
"Iceland","2062","Upper 80 PI","438.109"
"Iceland","2062","Lower 80 PI","379.93"
"Iceland","2062","Upper 95 PI","455.891"
"Iceland","2062","Lower 95 PI","364.7"
"Iceland","2061","Medium","408.411"
"Iceland","2061","High","457.721"
"Iceland","2061","Low","362.038"
"Iceland","2061","Constant fertility","411.788"
"Iceland","2061","Instant replacement","451.413"
"Iceland","2061","Zero migration","388.139"
"Iceland","2061","Constant mortality","390.394"
"Iceland","2061","No change","393.769"
"Iceland","2061","Momentum","411.834"
"Iceland","2061","Instant replacement zero migration","429.699"
"Iceland","2061","Median PI","408.411"
"Iceland","2061","Upper 80 PI","437.047"
"Iceland","2061","Lower 80 PI","381.203"
"Iceland","2061","Upper 95 PI","454.162"
"Iceland","2061","Lower 95 PI","366.156"
"Iceland","2060","Medium","408.673"
"Iceland","2060","High","456.048"
"Iceland","2060","Low","363.882"
"Iceland","2060","Constant fertility","411.88"
"Iceland","2060","Instant replacement","449.966"
"Iceland","2060","Zero migration","388.995"
"Iceland","2060","Constant mortality","391.365"
"Iceland","2060","No change","394.577"
"Iceland","2060","Momentum","411.76"
"Iceland","2060","Instant replacement zero migration","428.932"
"Iceland","2060","Median PI","408.674"
"Iceland","2060","Upper 80 PI","435.956"
"Iceland","2060","Lower 80 PI","382.34"
"Iceland","2060","Upper 95 PI","452.543"
"Iceland","2060","Lower 95 PI","367.374"
"Iceland","2059","Medium","408.882"
"Iceland","2059","High","454.365"
"Iceland","2059","Low","365.649"
"Iceland","2059","Constant fertility","411.93"
"Iceland","2059","Instant replacement","448.501"
"Iceland","2059","Zero migration","389.801"
"Iceland","2059","Constant mortality","392.281"
"Iceland","2059","No change","395.334"
